olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989300,In-stream video (skippable),2022-01-31,2989300,22695,,73616,4204,73616,4204
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989295,In-stream video (skippable),2022-01-31,2989295,4341,,13830,544,13830,544
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989297,In-stream video (skippable),2022-01-31,2989297,10975,,32540,2656,32540,2656
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989299,In-stream video (skippable),2022-01-31,2989299,76987,,222010,6920,222010,6920
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989298,In-stream video (skippable),2022-01-31,2989298,832,,3541,40,3541,40
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989229,In-stream video (skippable),2022-01-31,2989229,59008,,146294,2719,146294,2719
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989296,In-stream video (skippable),2022-01-31,2989296,1125,,4370,306,4370,306
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989304,In-stream video (skippable),2022-01-31,2989304,862,,3730,61,3730,61
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989232,In-stream video (skippable),2022-01-31,2989232,32303,,109313,1107,109313,1107
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989302,In-stream video (skippable),2022-01-31,2989302,1106,,3970,390,3970,390
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-01-31,2989226,44191,,159117,1262,159117,1262
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-01-31,2989227,182025,,562107,6481,562107,6481
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-01-31,2989224,1748,,9085,171,9085,171
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989303,In-stream video (skippable),2022-01-31,2989303,13934,,38118,3696,38118,3696
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-01-31,2989231,199696,,586875,13625,586875,13625
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990648,In-stream video (skippable),2022-02-01,2990648,71,,1010,,1010,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990653,In-stream video (skippable),2022-02-01,2990653,694,,13887,,13887,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-02-01,2989225,220531,,623799,10432,623799,10432
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990664,In-stream video (skippable),2022-02-01,2990664,32984,32984,32984,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990662,In-stream video (skippable),2022-02-01,2990662,10986,10986,10986,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990670,In-stream video (skippable),2022-02-01,2990670,53344,53344,53344,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990651,In-stream video (skippable),2022-02-01,2990651,1141,,16332,,16332,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990650,In-stream video (skippable),2022-02-01,2990650,111,,2062,,2062,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990639,In-stream video (skippable),2022-02-01,2990639,292,,3883,,3883,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990656,In-stream video (skippable),2022-02-01,2990656,736,,11074,,11074,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989293,In-stream video (skippable),2022-02-01,2989293,41610,,131561,3524,131561,3524
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990643,In-stream video (skippable),2022-02-01,2990643,55,,1085,,1085,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989301,In-stream video (skippable),2022-02-01,2989301,1928,,4557,259,4557,259
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990646,In-stream video (skippable),2022-02-01,2990646,199,,3486,,3486,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990640,In-stream video (skippable),2022-02-01,2990640,384,,4717,,4717,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990684,In-stream video (skippable),2022-02-01,2990684,394,,545,,545,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989230,In-stream video (skippable),2022-02-01,2989230,2326,,8686,166,8686,166
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990674,In-stream video (skippable),2022-02-01,2990674,661,,860,,860,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990663,In-stream video (skippable),2022-02-01,2990663,30665,30665,30665,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990658,In-stream video (skippable),2022-02-01,2990658,897,,16521,,16521,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989294,In-stream video (skippable),2022-02-01,2989294,15061,,48494,2244,48494,2244
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990687,In-stream video (skippable),2022-02-01,2990687,150,,211,,211,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990676,In-stream video (skippable),2022-02-01,2990676,358,,472,,472,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990665,In-stream video (skippable),2022-02-01,2990665,50159,50159,50159,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990657,In-stream video (skippable),2022-02-01,2990657,773,,19003,,19003,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989223,In-stream video (skippable),2022-02-01,2989223,63726,,151053,2317,151053,2317
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990641,In-stream video (skippable),2022-02-01,2990641,419,,11487,,11487,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989228,In-stream video (skippable),2022-02-01,2989228,267113,,1127127,5364,1127127,5364
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990691,In-stream video (skippable),2022-02-01,2990691,158,,217,,217,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990683,In-stream video (skippable),2022-02-01,2990683,141,,187,,187,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990682,In-stream video (skippable),2022-02-01,2990682,274,,391,,391,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990681,In-stream video (skippable),2022-02-01,2990681,125,,181,,181,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989222,In-stream video (skippable),2022-02-01,2989222,233942,,1006104,4482,1006104,4482
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990689,In-stream video (skippable),2022-02-01,2990689,123,,189,,189,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990672,In-stream video (skippable),2022-02-01,2990672,95,,138,,138,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990668,In-stream video (skippable),2022-02-01,2990668,8477,8477,8477,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990655,In-stream video (skippable),2022-02-01,2990655,298,,9127,,9127,
